

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 17 09:16:00 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: LRO (spacecraft) (-85)          {source: LRO_merged}
Center body name: Moon (301)                      {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Oct-26 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Oct-27 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460243.563888889, A.D. 2023-Oct-26 01:32:00.0000, -1.346712367424625E+02,  3.048404713494957E+02, -1.816948374885278E+03,
2460243.564583333, A.D. 2023-Oct-26 01:33:00.0000, -2.074807752378983E+02,  3.666069803802675E+02, -1.798674745799690E+03,
2460243.565277778, A.D. 2023-Oct-26 01:34:00.0000, -2.797108105357038E+02,  4.273480760203666E+02, -1.775367353680236E+03,
2460243.565972222, A.D. 2023-Oct-26 01:35:00.0000, -3.511589980729041E+02,  4.868938726966624E+02, -1.747091445087924E+03,
2460243.566666667, A.D. 2023-Oct-26 01:36:00.0000, -4.216251065615797E+02,  5.450776955355548E+02, -1.713925839514663E+03,
2460243.567361111, A.D. 2023-Oct-26 01:37:00.0000, -4.909115606499836E+02,  6.017365141624966E+02, -1.675962725051195E+03,
2460243.568055556, A.D. 2023-Oct-26 01:38:00.0000, -5.588239734677481E+02,  6.567113700063105E+02, -1.633307411384659E+03,
2460243.568750000, A.D. 2023-Oct-26 01:39:00.0000, -6.251716640323866E+02,  7.098477943249895E+02, -1.586078043236592E+03,
2460243.569444444, A.D. 2023-Oct-26 01:40:00.0000, -6.897681553383009E+02,  7.609962142341531E+02, -1.534405278396322E+03,
2460243.570138889, A.D. 2023-Oct-26 01:41:00.0000, -7.524316502159927E+02,  8.100123443456730E+02, -1.478431935202970E+03,
2460243.570833333, A.D. 2023-Oct-26 01:42:00.0000, -8.129856332694180E+02,  8.567576171359513E+02, -1.418312716988462E+03,
2460243.571527778, A.D. 2023-Oct-26 01:43:00.0000, -8.712592134398292E+02,  9.010995110348854E+02, -1.354213744249006E+03,
2460243.572222222, A.D. 2023-Oct-26 01:44:00.0000, -9.270871049880516E+02,  9.429117327297583E+02, -1.286311856207416E+03,
2460243.572916667, A.D. 2023-Oct-26 01:45:00.0000, -9.803103118962608E+02,  9.820746460463208E+02, -1.214794399095534E+03,
2460243.573611111, A.D. 2023-Oct-26 01:46:00.0000, -1.030776576910226E+03,  1.018475605701278E+03, -1.139858837639179E+03,
2460243.574305556, A.D. 2023-Oct-26 01:47:00.0000, -1.078340831604495E+03,  1.052009281656075E+03, -1.061712353641060E+03,
2460243.575000000, A.D. 2023-Oct-26 01:48:00.0000, -1.122865646058926E+03,  1.082577973949439E+03, -9.805714245370395E+02,
2460243.575694445, A.D. 2023-Oct-26 01:49:00.0000, -1.164221670298663E+03,  1.110091915541438E+03, -8.966613705356081E+02,
2460243.576388889, A.D. 2023-Oct-26 01:50:00.0000, -1.202288058997132E+03,  1.134469560377323E+03, -8.102158594904540E+02,
2460243.577083333, A.D. 2023-Oct-26 01:51:00.0000, -1.236952871154645E+03,  1.155637853764184E+03, -7.214763604908478E+02,
2460243.577777778, A.D. 2023-Oct-26 01:52:00.0000, -1.268113518177648E+03,  1.173532520314416E+03, -6.306917638195621E+02,
2460243.578472222, A.D. 2023-Oct-26 01:53:00.0000, -1.295677055308595E+03,  1.188098268434963E+03, -5.381175979303753E+02,
2460243.579166667, A.D. 2023-Oct-26 01:54:00.0000, -1.319560232799209E+03,  1.199288883638264E+03, -4.440146625983509E+02,
2460243.579861111, A.D. 2023-Oct-26 01:55:00.0000, -1.339689888501074E+03,  1.207067478689945E+03, -3.486486826447926E+02,
2460243.580555555, A.D. 2023-Oct-26 01:56:00.0000, -1.356003191535652E+03,  1.211406658942885E+03, -2.522896010799501E+02,
2460243.581250000, A.D. 2023-Oct-26 01:57:00.0000, -1.368447861060733E+03,  1.212288661412625E+03, -1.552108653977959E+02,
2460243.581944444, A.D. 2023-Oct-26 01:58:00.0000, -1.376982363357209E+03,  1.209705466035859E+03, -5.768871362493275E+01,
2460243.582638889, A.D. 2023-Oct-26 01:59:00.0000, -1.381576087460737E+03,  1.203658876649426E+03,  3.999854252235843E+01,
2460243.583333333, A.D. 2023-Oct-26 02:00:00.0000, -1.382209499077988E+03,  1.194160569889713E+03,  1.375712413112547E+02,
2460243.584027778, A.D. 2023-Oct-26 02:01:00.0000, -1.378874271998939E+03,  1.181232111124138E+03,  2.347491060826226E+02,
2460243.584722222, A.D. 2023-Oct-26 02:02:00.0000, -1.371573418896878E+03,  1.164905140959874E+03,  3.312519890231757E+02,
2460243.585416667, A.D. 2023-Oct-26 02:03:00.0000, -1.360321354856889E+03,  1.145221202366743E+03,  4.268006388041902E+02,
2460243.586111111, A.D. 2023-Oct-26 02:04:00.0000, -1.345143888129038E+03,  1.122231087802018E+03,  5.211175206831616E+02,
2460243.586805556, A.D. 2023-Oct-26 02:05:00.0000, -1.326078294533188E+03,  1.095995143590718E+03,  6.139276293740269E+02,
2460243.587500000, A.D. 2023-Oct-26 02:06:00.0000, -1.303173316319939E+03,  1.066583239055758E+03,  7.049593248336122E+02,
2460243.588194444, A.D. 2023-Oct-26 02:07:00.0000, -1.276489120491489E+03,  1.034074720925131E+03,  7.939451802922330E+02,
2460243.588888889, A.D. 2023-Oct-26 02:08:00.0000, -1.246097211678862E+03,  9.985583453771089E+02,  8.806228364008663E+02,
2460243.589583333, A.D. 2023-Oct-26 02:09:00.0000, -1.212080294787360E+03,  9.601321721040215E+02,  9.647358546408038E+02,
2460243.590277778, A.D. 2023-Oct-26 02:10:00.0000, -1.174532084147213E+03,  9.189034053794096E+02,  1.046034562593007E+03,
2460243.590972222, A.D. 2023-Oct-26 02:11:00.0000, -1.133557057934406E+03,  8.749881694371613E+02,  1.124276883505510E+03,
2460243.591666667, A.D. 2023-Oct-26 02:12:00.0000, -1.089270429088385E+03,  8.285115024891884E+02,  1.199229068034490E+03,
2460243.592361111, A.D. 2023-Oct-26 02:13:00.0000, -1.041797635894269E+03,  7.796068224522271E+02,  1.270666524533499E+03,
2460243.593055556, A.D. 2023-Oct-26 02:14:00.0000, -9.912731810724363E+02,  7.284146261300076E+02,  1.338374766383469E+03,
2460243.593750000, A.D. 2023-Oct-26 02:15:00.0000, -9.378407380337594E+02,  6.750825238994904E+02,  1.402149953309645E+03,
2460243.594444444, A.D. 2023-Oct-26 02:16:00.0000, -8.816528224621434E+02,  6.197647994786539E+02,  1.461799515484174E+03,
2460243.595138889, A.D. 2023-Oct-26 02:17:00.0000, -8.228704576621531E+02,  5.626219578413168E+02,  1.517142738519600E+03,
2460243.595833333, A.D. 2023-Oct-26 02:18:00.0000, -7.616628297864227E+02,  5.038202697017418E+02,  1.568011314446678E+03,
2460243.596527778, A.D. 2023-Oct-26 02:19:00.0000, -6.982069176773075E+02,  4.435313090694056E+02,  1.614249866699595E+03,
2460243.597222222, A.D. 2023-Oct-26 02:20:00.0000, -6.326870815302245E+02,  3.819314788767210E+02,  1.655716456295610E+03,
2460243.597916667, A.D. 2023-Oct-26 02:21:00.0000, -5.652945959469071E+02,  3.192015190145596E+02,  1.692283074418936E+03,
2460243.598611111, A.D. 2023-Oct-26 02:22:00.0000, -4.962273039140273E+02,  2.555260317741078E+02,  1.723835881281438E+03,
2460243.599305556, A.D. 2023-Oct-26 02:23:00.0000, -4.256889198180288E+02,  1.910929254941358E+02,  1.750275807369021E+03,
2460243.600000000, A.D. 2023-Oct-26 02:24:00.0000, -3.538877955721109E+02,  1.260927183321128E+02,  1.771519701777213E+03,
2460243.600694444, A.D. 2023-Oct-26 02:25:00.0000, -2.810365099432529E+02,  6.071799996786808E+01,  1.787500290536837E+03,
2460243.601388889, A.D. 2023-Oct-26 02:26:00.0000, -2.073511451551458E+02, -4.837183366004865E+00,  1.798166446203549E+03,
2460243.602083333, A.D. 2023-Oct-26 02:27:00.0000, -1.330505467855837E+02, -7.037795900530364E+01,  1.803483383881000E+03,
2460243.602777778, A.D. 2023-Oct-26 02:28:00.0000, -5.835558115399908E+01, -1.357092673603751E+02,  1.803432777992700E+03,
2460243.603472222, A.D. 2023-Oct-26 02:29:00.0000,  1.651160281547345E+01, -2.006365059668435E+02,  1.798012804776793E+03,
2460243.604166667, A.D. 2023-Oct-26 02:30:00.0000,  9.132830163196195E+01, -2.649661731647540E+02,  1.787238117337146E+03,
2460243.604861111, A.D. 2023-Oct-26 02:31:00.0000,  1.658719711190206E+02, -3.285065066829013E+02,  1.771139761091278E+03,
2460243.605555556, A.D. 2023-Oct-26 02:32:00.0000,  2.399210231907782E+02, -3.910681588460659E+02,  1.749765018362051E+03,
2460243.606250000, A.D. 2023-Oct-26 02:33:00.0000,  3.132554464290733E+02, -4.524647873884485E+02,  1.723177227846475E+03,
2460243.606944445, A.D. 2023-Oct-26 02:34:00.0000,  3.856571873084758E+02, -5.125135233969435E+02,  1.691455629091762E+03,
2460243.607638889, A.D. 2023-Oct-26 02:35:00.0000,  4.569109969760175E+02, -5.710356420340264E+02,  1.654695086530503E+03,
2460243.608333333, A.D. 2023-Oct-26 02:36:00.0000,  5.268051155912690E+02, -6.278571471041848E+02,  1.613005794221070E+03,
2460243.609027778, A.D. 2023-Oct-26 02:37:00.0000,  5.951319519278477E+02, -6.828093391356254E+02,  1.566512936804982E+03,
2460243.609722222, A.D. 2023-Oct-26 02:38:00.0000,  6.616887565833167E+02, -7.357293648689183E+02,  1.515356303362152E+03,
2460243.610416667, A.D. 2023-Oct-26 02:39:00.0000,  7.262782829624484E+02, -7.864607443942783E+02,  1.459689851234627E+03,
